Options:
Model:                           Discrete: Independent
Tree File Name:                  ./analysis/co-evolutionary/iroquois_binary-unilineal_binary.bttrees
Data File Name:                  ./analysis/co-evolutionary/iroquois_binary-unilineal_binary.btdata
Log File Name:                   /Users/sp16194/Desktop/Projects_Git/Project_Kinshipsystems_ACE_Coevolution/analysis/co-evolutionary/bt-output/bantu-iroquois_binary-unilineal_binary-indep
Summary:                         False
Seed                             3866554334
Analsis Type:                    Maximum Likelihood
ML attempt per tree:             10
Precision:                       64 bits
Cores:                           1
No of Rates:                     4
Base frequency (PI's)            None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Tree Information
     Trees:                      1000
     Taxa:                       64
     Sites:                      1
     States:                     4
Tree No	Lh	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
785	-69.657022	0.015542	0.022409	0.602231	0.125114	0.211451	0.211451	0.288549	0.288549	
786	-70.278899	10.628667	6.377202	0.273766	0.057294	0.250000	0.250000	0.250000	0.250000	
787	-70.261519	4.480816	2.688526	0.269652	0.056622	0.250000	0.250000	0.250000	0.250000	
788	-68.556053	0.015654	0.022805	0.562368	0.116957	0.214793	0.214793	0.285207	0.285207	
789	-68.716749	0.015162	0.022901	9.367825	1.944301	0.212193	0.212193	0.287807	0.287807	
790	-68.807243	0.016592	0.022563	0.382172	0.080063	0.231141	0.231141	0.268859	0.268859	
791	-69.138627	0.016793	0.022211	0.621498	0.129075	0.222280	0.222280	0.277720	0.277720	
792	-69.525245	0.017641	0.022196	0.303784	0.063405	0.227471	0.227471	0.272529	0.272529	
793	-69.284162	0.017524	0.021941	0.442593	0.092132	0.225239	0.225239	0.274761	0.274761	
794	-68.014680	0.014826	0.021000	1.521183	0.315741	0.210590	0.210590	0.289410	0.289410	
795	-68.162224	0.016448	0.021798	1.961213	0.407057	0.223870	0.223870	0.276130	0.276130	
796	-68.836704	0.018299	0.022139	0.619229	0.128747	0.224895	0.224895	0.275105	0.275105	
797	-69.693037	0.019254	0.022256	0.939380	0.194971	0.224803	0.224803	0.275197	0.275197	
798	-69.526115	0.016327	0.021690	0.387587	0.080608	0.222658	0.222658	0.277342	0.277342	
799	-69.220521	0.018239	0.022567	2.905811	0.604902	0.232084	0.232084	0.267916	0.267916	
800	-68.568041	0.015753	0.021720	9.169216	1.903139	0.218396	0.218396	0.281604	0.281604	
801	-69.467574	0.014523	0.021150	1.231358	0.255494	0.215563	0.215563	0.284437	0.284437	
802	-69.743992	0.018969	0.023112	0.295429	0.061642	0.223777	0.223777	0.276223	0.276223	
803	-68.971771	0.015891	0.022273	10.437112	2.166280	0.222445	0.222445	0.277555	0.277555	
804	-70.132661	0.014714	0.021451	1.719729	0.356925	0.214146	0.214146	0.285854	0.285854	
805	-69.358038	0.015225	0.021992	3.282002	0.681185	0.221486	0.221486	0.278514	0.278514	
806	-68.576553	0.013476	0.021086	5.812280	1.205984	0.215114	0.215114	0.284886	0.284886	
807	-69.522498	0.014882	0.022093	1.828234	0.379437	0.206203	0.206203	0.293797	0.293797	
808	-69.013136	0.015635	0.021666	0.411783	0.085891	0.217406	0.217406	0.282594	0.282594	
809	-70.275873	3.673026	2.203812	0.325245	0.068100	0.250000	0.250000	0.250000	0.250000	
810	-69.336893	0.015904	0.022025	0.631415	0.131206	0.216203	0.216203	0.283797	0.283797	
811	-69.580257	0.014882	0.021560	0.640708	0.133214	0.214015	0.214015	0.285985	0.285985	
812	-69.076447	0.016310	0.021359	0.254706	0.053835	0.229404	0.229404	0.270596	0.270596	
813	-70.229736	0.172559	0.104535	0.325239	0.068104	0.250000	0.250000	0.250000	0.250000	
814	-69.924254	0.016471	0.021126	0.388166	0.080771	0.232232	0.232232	0.267768	0.267768	
815	-70.254157	8.144204	4.886523	0.358128	0.075045	0.250000	0.250000	0.250000	0.250000	
816	-69.252263	0.012347	0.019851	0.683288	0.142027	0.217616	0.217616	0.282384	0.282384	
817	-68.765264	0.012834	0.019989	0.819440	0.170111	0.221115	0.221115	0.278885	0.278885	
818	-69.111662	0.014707	0.021323	0.188601	0.039954	0.226830	0.226830	0.273170	0.273170	
819	-68.860744	0.014357	0.020441	1.698650	0.352713	0.227864	0.227864	0.272136	0.272136	
820	-69.033910	0.016875	0.022006	0.506243	0.105533	0.222994	0.222994	0.277006	0.277006	
821	-68.607805	0.014061	0.021808	0.990599	0.205663	0.209087	0.209087	0.290913	0.290913	
822	-69.083238	0.016300	0.021966	0.502023	0.104641	0.214867	0.214867	0.285133	0.285133	
823	-69.490791	0.017686	0.022259	0.635659	0.132222	0.223810	0.223810	0.276190	0.276190	
824	-69.799108	0.120726	0.075522	0.525561	0.110411	0.250000	0.250000	0.250000	0.250000	
825	-70.311500	0.472638	0.284217	8.488293	1.761716	0.250000	0.250000	0.250000	0.250000	
826	-70.018315	0.116747	0.070687	4.032372	0.836908	0.250000	0.250000	0.250000	0.250000	
827	-70.240957	0.253067	0.153966	4.393516	0.911862	0.250000	0.250000	0.250000	0.250000	
828	-69.657978	0.015805	0.022147	3.143728	0.652496	0.212397	0.212397	0.287603	0.287603	
829	-69.603437	0.021824	0.022730	4.865882	1.009753	0.221161	0.221161	0.278839	0.278839	
830	-70.235257	0.018809	0.022888	0.203643	0.043067	0.218390	0.218390	0.281610	0.281610	
831	-70.163249	0.209854	0.127529	0.307071	0.064263	0.250000	0.250000	0.250000	0.250000	
832	-69.195562	0.017436	0.021847	0.232923	0.049102	0.234702	0.234702	0.265298	0.265298	
833	-70.316425	2.999191	1.799508	0.427762	0.088889	0.250000	0.250000	0.250000	0.250000	
834	-68.711150	0.016250	0.021707	1.190759	0.247295	0.211499	0.211499	0.288501	0.288501	
835	-68.762641	0.014989	0.020037	4.419034	0.917208	0.221780	0.221780	0.278220	0.278220	
836	-70.274433	0.206861	0.124987	5.408725	1.122565	0.250000	0.250000	0.250000	0.250000	
837	-69.109728	0.020354	0.021412	0.451001	0.093889	0.228197	0.228197	0.271803	0.271803	
838	-70.066857	0.113444	0.068610	2.989398	0.620439	0.250000	0.250000	0.250000	0.250000	
839	-68.843165	0.016715	0.020562	0.321795	0.067229	0.223916	0.223916	0.276084	0.276084	
840	-68.540804	0.013166	0.019940	2.520024	0.523035	0.214804	0.214804	0.285196	0.285196	
841	-68.482182	0.014680	0.020928	0.639665	0.132810	0.207303	0.207303	0.292697	0.292697	
842	-68.492891	0.012708	0.020366	0.255969	0.053807	0.207885	0.207885	0.292115	0.292115	
843	-68.638226	0.013727	0.021153	0.257685	0.053876	0.212396	0.212396	0.287604	0.287604	
844	-69.414924	0.016746	0.021880	0.320011	0.067173	0.219233	0.219233	0.280767	0.280767	
845	-70.305061	0.129277	0.079259	0.454303	0.094465	0.250000	0.250000	0.250000	0.250000	
846	-69.215512	0.016753	0.020817	0.880268	0.182702	0.226645	0.226645	0.273355	0.273355	
847	-68.453477	0.014517	0.020707	1.523846	0.316249	0.226486	0.226486	0.273514	0.273514	
848	-68.353989	0.016892	0.021350	2.018547	0.418959	0.234017	0.234017	0.265983	0.265983	
849	-68.870231	0.017536	0.022572	1.191878	0.247472	0.227448	0.227448	0.272552	0.272552	
850	-68.074983	0.018432	0.022070	4.050250	0.840658	0.229084	0.229084	0.270916	0.270916	
851	-67.773788	0.015678	0.021315	2.564122	0.532043	0.219624	0.219624	0.280376	0.280376	
852	-67.418470	0.017952	0.022067	4.006621	0.831593	0.227943	0.227943	0.272057	0.272057	
853	-67.397432	0.015249	0.020925	3.897588	0.808929	0.222929	0.222929	0.277071	0.277071	
854	-67.542360	0.017258	0.021687	4.185446	0.868670	0.225833	0.225833	0.274167	0.274167	
855	-67.985603	0.015212	0.021473	2.728543	0.566539	0.231203	0.231203	0.268797	0.268797	
856	-67.662837	0.015075	0.020878	3.716511	0.771339	0.233187	0.233187	0.266813	0.266813	
857	-68.574747	0.016353	0.021889	4.383192	0.909202	0.234219	0.234219	0.265781	0.265781	
858	-69.405349	0.018938	0.022945	2.496814	0.518153	0.232934	0.232934	0.267066	0.267066	
859	-68.304985	0.016642	0.022267	3.978967	0.825882	0.231479	0.231479	0.268521	0.268521	
860	-68.586174	0.015812	0.021666	2.694810	0.559206	0.219571	0.219571	0.280429	0.280429	
861	-69.771290	0.016221	0.021896	0.557812	0.115839	0.226864	0.226864	0.273136	0.273136	
862	-68.828723	0.012962	0.020373	0.725898	0.150698	0.209975	0.209975	0.290025	0.290025	
863	-68.070894	0.014620	0.021348	0.373910	0.078358	0.216416	0.216416	0.283584	0.283584	
864	-69.095906	0.015800	0.022384	5.010923	1.039405	0.219701	0.219701	0.280299	0.280299	
865	-68.863568	0.014832	0.022126	0.538448	0.112550	0.222030	0.222030	0.277970	0.277970	
866	-68.817313	0.016010	0.022369	1.052043	0.218348	0.223447	0.223447	0.276553	0.276553	
867	-68.374952	0.015760	0.022529	0.238788	0.050442	0.227549	0.227549	0.272451	0.272451	
868	-68.563309	0.014433	0.021929	0.307999	0.064716	0.227248	0.227248	0.272752	0.272752	
869	-68.380475	0.013370	0.020902	0.312403	0.065182	0.223897	0.223897	0.276103	0.276103	
870	-68.278087	0.015945	0.020656	2.232655	0.463406	0.225139	0.225139	0.274861	0.274861	
871	-68.242607	0.014082	0.020288	0.470912	0.097864	0.207552	0.207552	0.292448	0.292448	
872	-68.722040	0.014993	0.021534	0.326632	0.068638	0.218656	0.218656	0.281344	0.281344	
873	-67.941835	0.014979	0.020219	0.768597	0.159711	0.226487	0.226487	0.273513	0.273513	
874	-67.706647	0.014496	0.020628	0.845772	0.175518	0.225982	0.225982	0.274018	0.274018	
875	-68.679887	0.016967	0.021959	0.557754	0.116017	0.231754	0.231754	0.268246	0.268246	
876	-68.026741	0.012080	0.019783	0.389533	0.081396	0.212794	0.212794	0.287206	0.287206	
877	-67.816378	0.012353	0.020663	0.519843	0.107992	0.213156	0.213156	0.286844	0.286844	
878	-67.797442	0.013797	0.020733	0.778207	0.161563	0.220449	0.220449	0.279551	0.279551	
879	-67.676927	0.014447	0.021223	0.397669	0.083211	0.229740	0.229740	0.270260	0.270260	
880	-68.631092	0.017250	0.021418	0.433915	0.090878	0.234766	0.234766	0.265234	0.265234	
881	-68.624440	0.014374	0.021183	0.841110	0.174670	0.216142	0.216142	0.283858	0.283858	
882	-68.677607	0.015684	0.020945	0.614924	0.128220	0.223294	0.223294	0.276706	0.276706	
883	-67.801179	0.012703	0.020182	2.335433	0.484717	0.199576	0.199576	0.300424	0.300424	
884	-68.698925	0.013579	0.021951	5.090021	1.056426	0.207304	0.207304	0.292696	0.292696	
885	-68.724324	0.017577	0.022310	2.035996	0.422567	0.222483	0.222483	0.277517	0.277517	
886	-68.297373	0.015787	0.021580	0.723473	0.150689	0.221538	0.221538	0.278462	0.278462	
887	-68.323225	0.016837	0.022480	0.432288	0.090077	0.227087	0.227087	0.272913	0.272913	
888	-69.295959	0.014319	0.022486	0.722847	0.150030	0.215190	0.215190	0.284810	0.284810	
889	-69.190663	0.016473	0.023351	1.195850	0.249021	0.223047	0.223047	0.276953	0.276953	
890	-68.902791	0.014311	0.023028	0.334573	0.069985	0.212375	0.212375	0.287625	0.287625	
891	-68.961780	0.013658	0.023164	0.703282	0.146080	0.212983	0.212983	0.287017	0.287017	
892	-68.989946	0.013776	0.022243	0.273010	0.057461	0.219222	0.219222	0.280778	0.280778	
893	-68.618867	0.016268	0.022577	0.425991	0.088739	0.227229	0.227229	0.272771	0.272771	
894	-68.958343	0.016531	0.021811	0.336401	0.070444	0.229829	0.229829	0.270171	0.270171	
895	-69.683678	0.015307	0.023057	0.340313	0.071300	0.209121	0.209121	0.290879	0.290879	
896	-68.557216	0.013980	0.021478	0.246931	0.051411	0.219236	0.219236	0.280764	0.280764	
897	-68.090457	0.012771	0.021298	0.454599	0.094392	0.203161	0.203161	0.296839	0.296839	
898	-68.096641	0.015147	0.022472	0.730948	0.151891	0.209116	0.209116	0.290884	0.290884	
899	-68.746137	0.016689	0.022959	0.317865	0.066494	0.225991	0.225991	0.274009	0.274009	
900	-69.669548	0.020420	0.023354	0.349565	0.072904	0.224167	0.224167	0.275833	0.275833	
901	-69.105123	0.023016	0.024131	0.087456	0.019910	0.226496	0.226789	0.273181	0.273535	
902	-68.801977	0.020619	0.024098	0.171045	0.036651	0.224129	0.224129	0.275871	0.275871	
903	-69.098450	0.023991	0.024919	0.487078	0.102209	0.230625	0.230625	0.269375	0.269375	
904	-69.005129	0.018402	0.022725	0.599253	0.124626	0.223729	0.223729	0.276271	0.276271	
905	-68.723947	0.018414	0.021860	0.243956	0.051386	0.232171	0.232171	0.267829	0.267829	
906	-68.915818	0.014905	0.021077	0.307634	0.064155	0.211666	0.211666	0.288334	0.288334	
907	-68.732831	0.015189	0.021915	0.316142	0.066253	0.219718	0.219718	0.280282	0.280282	
908	-69.634244	0.015239	0.021730	1.513290	0.314078	0.220919	0.220919	0.279081	0.279081	
909	-69.012252	0.012022	0.021904	0.367755	0.076915	0.202377	0.202377	0.297623	0.297623	
910	-69.298289	0.013580	0.020792	0.219216	0.046228	0.215589	0.215589	0.284411	0.284411	
911	-69.093653	0.015425	0.022029	0.363488	0.076251	0.225357	0.225357	0.274643	0.274643	
912	-68.967329	0.015537	0.021706	0.587959	0.122129	0.224083	0.224083	0.275917	0.275917	
913	-69.329163	0.014190	0.021789	0.444208	0.092717	0.219897	0.219897	0.280103	0.280103	
914	-69.496610	0.013915	0.021638	0.887527	0.184324	0.212836	0.212836	0.287164	0.287164	
915	-68.416105	0.013721	0.020768	0.928126	0.192619	0.224317	0.224317	0.275683	0.275683	
916	-68.580895	0.013694	0.020510	0.469252	0.098023	0.221856	0.221856	0.278144	0.278144	
917	-68.379860	0.013792	0.020999	4.045027	0.839710	0.221759	0.221759	0.278241	0.278241	
918	-68.259655	0.015140	0.021635	0.536353	0.112265	0.216080	0.216080	0.283920	0.283920	
919	-68.087091	0.012861	0.021268	6.061475	1.258019	0.220558	0.220558	0.279442	0.279442	
920	-69.023679	0.015231	0.021557	0.426677	0.088791	0.226198	0.226198	0.273802	0.273802	
921	-69.223480	0.014115	0.020863	1.832749	0.380442	0.228101	0.228101	0.271899	0.271899	
922	-68.493972	0.016546	0.020872	5.455190	1.132206	0.234953	0.234953	0.265047	0.265047	
923	-69.970947	0.018937	0.022471	0.330316	0.068783	0.228229	0.228229	0.271771	0.271771	
924	-69.360832	0.017648	0.023052	0.376698	0.078763	0.219521	0.219521	0.280479	0.280479	
925	-69.191300	0.017747	0.022896	0.413314	0.086058	0.219679	0.219679	0.280321	0.280321	
926	-68.982360	0.016101	0.021993	0.467705	0.098263	0.218989	0.218989	0.281011	0.281011	
927	-69.325101	0.015920	0.022648	0.777798	0.161853	0.207683	0.207683	0.292317	0.292317	
928	-69.690157	0.022165	0.023868	0.552489	0.114977	0.226760	0.226760	0.273240	0.273240	
929	-69.781362	0.017775	0.021376	0.759065	0.157705	0.220410	0.220410	0.279590	0.279590	
930	-70.316236	4.959254	2.975547	0.471098	0.097873	0.250000	0.250000	0.250000	0.250000	
931	-69.303522	0.014279	0.020985	1.105766	0.229506	0.223876	0.223876	0.276124	0.276124	
932	-69.363352	0.016971	0.021941	0.857646	0.178197	0.216259	0.216259	0.283741	0.283741	
933	-69.618185	0.020173	0.023171	0.314440	0.066361	0.228972	0.228972	0.271028	0.271028	
934	-69.692269	0.015941	0.022046	0.509064	0.106657	0.214924	0.214924	0.285076	0.285076	
935	-69.962133	0.020257	0.023373	0.418469	0.087814	0.233429	0.233429	0.266571	0.266571	
936	-70.290035	6.361941	3.817172	0.284319	0.059527	0.250000	0.250000	0.250000	0.250000	
937	-70.318196	2.668903	1.601326	0.685298	0.142322	0.250000	0.250000	0.250000	0.250000	
938	-70.195191	0.020800	0.023508	0.928124	0.192735	0.218833	0.218833	0.281167	0.281167	
939	-69.144976	0.017777	0.023032	1.410897	0.292805	0.226069	0.226069	0.273931	0.273931	
940	-70.133787	0.069742	0.043179	0.392065	0.081851	0.249796	0.249796	0.250204	0.250204	
941	-69.689637	0.020808	0.023711	0.859476	0.178540	0.225946	0.225946	0.274054	0.274054	
942	-70.215198	0.196188	0.119670	5.933238	1.231428	0.250000	0.250000	0.250000	0.250000	
943	-69.662812	0.018320	0.022108	0.338311	0.070433	0.224523	0.224523	0.275477	0.275477	
944	-68.203650	0.017357	0.021756	0.499262	0.103916	0.222310	0.222310	0.277690	0.277690	
945	-68.332450	0.015438	0.021787	1.150516	0.238874	0.216633	0.216633	0.283367	0.283367	
946	-68.717349	0.019412	0.022321	0.561148	0.116888	0.229722	0.229722	0.270278	0.270278	
947	-68.766519	0.017485	0.021382	0.324013	0.067711	0.233837	0.233837	0.266163	0.266163	
948	-68.270834	0.018367	0.021045	0.544213	0.112970	0.228896	0.228896	0.271104	0.271104	
949	-69.152705	0.021217	0.023056	0.495177	0.103518	0.237174	0.237174	0.262826	0.262826	
950	-70.231003	0.018088	0.021409	1.442470	0.299337	0.229450	0.229450	0.270550	0.270550	
951	-69.455397	0.018164	0.020811	0.552742	0.114932	0.232791	0.232791	0.267209	0.267209	
952	-67.256033	0.016569	0.020757	2.194346	0.455473	0.230891	0.230891	0.269109	0.269109	
953	-67.944498	0.017699	0.021758	3.502519	0.726979	0.217328	0.217328	0.282672	0.282672	
954	-68.925074	0.015809	0.021016	0.616751	0.128395	0.226558	0.226558	0.273442	0.273442	
955	-69.774631	0.022492	0.022817	3.616680	0.750644	0.229493	0.229493	0.270507	0.270507	
956	-68.553209	0.017456	0.022029	1.986738	0.412384	0.222055	0.222055	0.277945	0.277945	
957	-70.319951	4.318017	2.590809	7.335672	1.522497	0.250000	0.250000	0.250000	0.250000	
958	-70.318177	2.738681	1.643210	0.553484	0.114954	0.250000	0.250000	0.250000	0.250000	
959	-70.267274	0.017916	0.022540	0.568206	0.118323	0.226984	0.226984	0.273016	0.273016	
960	-69.524113	0.019078	0.022515	3.219005	0.669404	0.236117	0.236117	0.263883	0.263883	
961	-69.084591	0.015846	0.021573	5.922886	1.229293	0.232159	0.232159	0.267841	0.267841	
962	-69.541947	0.013253	0.021763	4.115147	0.854087	0.211086	0.211086	0.288914	0.288914	
963	-69.517247	0.019098	0.022927	1.427187	0.296232	0.232645	0.232645	0.267355	0.267355	
964	-68.917460	0.017820	0.021721	0.537256	0.111617	0.233333	0.233333	0.266667	0.266667	
965	-70.246716	0.180122	0.109954	3.408977	0.707504	0.250000	0.250000	0.250000	0.250000	
966	-69.696119	0.017281	0.021513	1.572856	0.326421	0.232485	0.232485	0.267515	0.267515	
967	-68.375050	0.014110	0.020149	1.219244	0.253113	0.221875	0.221875	0.278125	0.278125	
968	-69.632432	0.020000	0.021941	0.477992	0.099372	0.226813	0.226813	0.273187	0.273187	
969	-69.138172	0.015777	0.022007	0.464107	0.096920	0.209447	0.209447	0.290553	0.290553	
970	-69.841104	0.020261	0.022682	3.025081	0.627853	0.219836	0.219836	0.280164	0.280164	
971	-70.279691	0.140550	0.085713	3.238837	0.672256	0.250000	0.250000	0.250000	0.250000	
972	-69.927817	0.016292	0.021545	2.427654	0.503238	0.218915	0.218915	0.281085	0.281085	
973	-70.267690	0.017075	0.022317	0.859186	0.178433	0.221568	0.221568	0.278432	0.278432	
974	-68.705418	0.014540	0.021507	7.509374	1.558608	0.221925	0.221925	0.278075	0.278075	
975	-67.694662	0.013092	0.021001	1.273968	0.264381	0.207780	0.207780	0.292220	0.292220	
976	-68.849666	0.016865	0.020989	0.398792	0.083533	0.234673	0.234673	0.265327	0.265327	
977	-68.739599	0.014621	0.021249	0.471982	0.098413	0.222673	0.222673	0.277327	0.277327	
978	-69.606763	0.015562	0.021493	0.333385	0.070013	0.227226	0.227226	0.272774	0.272774	
979	-69.266212	0.018838	0.022467	0.335547	0.070290	0.234883	0.234883	0.265117	0.265117	
980	-68.731596	0.014961	0.021653	0.397440	0.083059	0.216668	0.216668	0.283332	0.283332	
981	-69.303493	0.016466	0.021830	0.560682	0.116865	0.227158	0.227158	0.272842	0.272842	
982	-68.949823	0.014853	0.021714	0.556445	0.115836	0.230989	0.230989	0.269011	0.269011	
983	-69.484220	0.012337	0.020956	2.053910	0.426318	0.204102	0.204102	0.295898	0.295898	
984	-69.983826	0.016567	0.021921	0.774457	0.160797	0.223034	0.223034	0.276966	0.276966	
985	-69.440916	0.014997	0.022714	0.866354	0.180118	0.222841	0.222841	0.277159	0.277159	
986	-69.215490	0.014747	0.021717	0.663350	0.137832	0.224245	0.224245	0.275755	0.275755	
987	-68.800075	0.014006	0.021509	0.515500	0.107073	0.212670	0.212670	0.287330	0.287330	
988	-69.129296	0.014617	0.020772	6.844435	1.420494	0.219087	0.219087	0.280913	0.280913	
989	-68.823457	0.015665	0.020523	0.284874	0.059607	0.222266	0.222266	0.277734	0.277734	
990	-68.989261	0.013416	0.019629	0.423283	0.088413	0.203577	0.203577	0.296423	0.296423	
991	-70.054948	0.014861	0.020946	0.336928	0.070682	0.209924	0.209924	0.290076	0.290076	
992	-69.712900	0.016606	0.022298	0.357616	0.075220	0.221276	0.221276	0.278724	0.278724	
993	-68.815870	0.017861	0.022003	0.943581	0.195863	0.228582	0.228582	0.271418	0.271418	
994	-68.337105	0.014836	0.020719	2.490552	0.516755	0.222589	0.222589	0.277411	0.277411	
995	-69.603597	0.018947	0.022882	0.654781	0.136242	0.218967	0.218967	0.281033	0.281033	
996	-69.865199	0.019192	0.023138	0.626319	0.130076	0.221427	0.221427	0.278573	0.278573	
997	-69.165655	0.015644	0.022231	0.481383	0.100201	0.224789	0.224789	0.275211	0.275211	
998	-67.208071	0.015705	0.021140	0.801918	0.167163	0.224735	0.224735	0.275265	0.275265	
999	-68.732747	0.019056	0.022856	1.290516	0.267851	0.222660	0.222660	0.277340	0.277340	
1000	-69.188211	0.019668	0.022663	0.394565	0.082201	0.237750	0.237750	0.262250	0.262250	
