Options:
Model:                           Discrete: Independent
Tree File Name:                  ./analysis/co-evolutionary/iroquois_binary-unilineal_binary.bttrees
Data File Name:                  ./analysis/co-evolutionary/iroquois_binary-unilineal_binary.btdata
Log File Name:                   /Users/sp16194/Desktop/Projects_Git/Project_Kinshipsystems_ACE_Coevolution/analysis/co-evolutionary/bt-output/bantu-iroquois_binary-unilineal_binary-indep
Summary:                         False
Seed                             3866554334
Analsis Type:                    Maximum Likelihood
ML attempt per tree:             10
Precision:                       64 bits
Cores:                           1
No of Rates:                     4
Base frequency (PI's)            None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Tree Information
     Trees:                      1000
     Taxa:                       64
     Sites:                      1
     States:                     4
Tree No	Lh	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
173	-69.475838	0.018660	0.022591	0.447995	0.093465	0.229819	0.229819	0.270181	0.270181	
174	-68.012449	0.013281	0.021752	0.739445	0.153630	0.215194	0.215194	0.284806	0.284806	
175	-68.677180	0.015610	0.022128	4.560112	0.946410	0.229446	0.229446	0.270554	0.270554	
176	-68.433691	0.016732	0.022422	0.935990	0.194310	0.225581	0.225581	0.274419	0.274419	
177	-68.984665	0.016175	0.021122	4.651714	0.965533	0.221497	0.221497	0.278503	0.278503	
178	-69.362322	0.015060	0.022291	0.292981	0.061413	0.221017	0.221017	0.278983	0.278983	
179	-68.953018	0.012917	0.021775	3.476912	0.721716	0.201763	0.201763	0.298237	0.298237	
180	-68.993613	0.015503	0.021751	0.562918	0.117196	0.220336	0.220336	0.279664	0.279664	
181	-68.215177	0.013162	0.020762	0.644352	0.133774	0.219148	0.219148	0.280852	0.280852	
182	-68.429873	0.018515	0.022394	5.495880	1.140680	0.238266	0.238266	0.261734	0.261734	
183	-68.701937	0.018458	0.023255	0.987981	0.205120	0.232996	0.232996	0.267004	0.267004	
184	-68.937346	0.018322	0.023590	2.987410	0.620021	0.226336	0.226336	0.273664	0.273664	
185	-69.868125	0.019102	0.023653	0.529925	0.110171	0.229379	0.229379	0.270621	0.270621	
186	-70.214920	0.018256	0.022396	2.111745	0.438370	0.240391	0.240391	0.259609	0.259609	
187	-70.269467	0.241190	0.145767	9.341041	1.938707	0.250000	0.250000	0.250000	0.250000	
188	-69.788565	0.017888	0.024249	3.464695	0.719068	0.230647	0.230647	0.269353	0.269353	
189	-69.569942	0.016877	0.023667	1.008923	0.209505	0.225578	0.225578	0.274422	0.274422	
190	-69.853351	0.017106	0.023863	3.882517	0.805808	0.221170	0.221170	0.278830	0.278830	
191	-68.759239	0.017889	0.024278	4.827883	1.002052	0.229774	0.229774	0.270226	0.270226	
192	-68.306152	0.017193	0.022956	4.168962	0.865360	0.223509	0.223509	0.276491	0.276491	
193	-68.471980	0.018178	0.023913	2.455102	0.509557	0.221600	0.221600	0.278400	0.278400	
194	-68.544693	0.018148	0.023581	3.575970	0.742227	0.230414	0.230414	0.269586	0.269586	
195	-68.741248	0.016097	0.022598	4.717950	0.978621	0.217648	0.217648	0.282352	0.282352	
196	-69.743784	0.017838	0.023280	3.073304	0.637830	0.224442	0.224442	0.275558	0.275558	
197	-69.753195	0.021232	0.023975	1.515380	0.314684	0.228552	0.228552	0.271448	0.271448	
198	-70.260523	0.440362	0.266964	0.760752	0.158652	0.250000	0.250000	0.250000	0.250000	
199	-70.291128	0.285750	0.173497	4.191871	0.870025	0.250000	0.250000	0.250000	0.250000	
200	-70.295382	0.458900	0.277095	0.800233	0.166462	0.250000	0.250000	0.250000	0.250000	
201	-70.318098	10.449450	6.269669	0.956928	0.198735	0.250000	0.250000	0.250000	0.250000	
202	-70.319174	6.163714	3.698233	1.459574	0.303015	0.250000	0.250000	0.250000	0.250000	
203	-69.827789	0.018910	0.022434	0.744980	0.155165	0.230955	0.230955	0.269045	0.269045	
204	-68.939682	0.018398	0.022648	0.707316	0.147220	0.234361	0.234361	0.265639	0.265639	
205	-68.674528	0.015426	0.022389	0.483526	0.100520	0.210420	0.210420	0.289580	0.289580	
206	-68.231107	0.013241	0.021666	2.279086	0.473058	0.189485	0.189485	0.310515	0.310515	
207	-68.708135	0.012860	0.021777	0.296821	0.062485	0.201041	0.201041	0.298959	0.298959	
208	-70.276271	0.153727	0.093713	0.784058	0.162844	0.250000	0.250000	0.250000	0.250000	
209	-70.188439	0.019536	0.023816	0.335657	0.070044	0.215706	0.215706	0.284294	0.284294	
210	-69.276479	0.017278	0.021610	0.319496	0.066730	0.220305	0.220305	0.279695	0.279695	
211	-69.159320	0.017362	0.022459	0.426560	0.088826	0.222108	0.222108	0.277892	0.277892	
212	-69.516428	0.016838	0.021390	0.770946	0.159990	0.222421	0.222421	0.277579	0.277579	
213	-69.518608	0.017260	0.021833	0.854876	0.177465	0.227661	0.227661	0.272339	0.272339	
214	-69.255619	0.019930	0.022407	2.542871	0.527786	0.236190	0.236190	0.263810	0.263810	
215	-70.306294	0.414806	0.249935	5.055871	1.049337	0.250000	0.250000	0.250000	0.250000	
216	-69.438835	0.024579	0.023846	0.777678	0.162993	0.237979	0.237979	0.262021	0.262021	
217	-69.752441	0.024394	0.024311	4.226770	0.877313	0.235909	0.235909	0.264091	0.264091	
