Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./analysis/co-evolutionary/iroquois_binary-unilineal_binary.bttrees
Data File Name:                  ./analysis/co-evolutionary/iroquois_binary-unilineal_binary.btdata
Log File Name:                   /Users/sp16194/Desktop/Projects_Git/Project_Kinshipsystems_ACE_Coevolution/analysis/co-evolutionary/bt-output/bantu-iroquois_binary-unilineal_binary-dep
Summary:                         False
Seed                             2792812647
Analsis Type:                    Maximum Likelihood
ML attempt per tree:             10
Precision:                       64 bits
Cores:                           1
No of Rates:                     8
Base frequency (PI's)            None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Tree Information
     Trees:                      1000
     Taxa:                       64
     Sites:                      1
     States:                     4
Tree No	Lh	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
103	-68.020382	0.837922	0.000000	0.228965	0.016554	0.000023	0.426131	0.024873	0.072794	0.203684	0.205514	0.297039	0.293764	
104	-67.818105	1.313888	0.000000	0.350724	0.020169	0.002812	0.356375	0.025723	0.061363	0.217405	0.218368	0.283495	0.280732	
105	-67.591739	0.356554	0.000000	0.066384	0.016869	0.090352	0.981582	0.009273	0.186382	0.213653	0.217144	0.282507	0.286696	
106	-67.956189	0.744246	0.000000	0.203005	0.014869	0.000000	0.318911	0.022612	0.054287	0.204197	0.205993	0.296946	0.292863	
107	-68.331172	0.302198	0.000000	0.087931	0.022578	0.000000	0.404350	0.024975	0.069460	0.237344	0.239149	0.262217	0.261290	
108	-68.377182	0.980979	0.000000	0.265308	0.018760	0.000000	0.345097	0.024947	0.058705	0.223108	0.224106	0.277644	0.275142	
109	-68.675202	1.112545	0.000000	0.302694	0.018556	0.000747	0.566579	0.024133	0.097584	0.222324	0.223306	0.277799	0.276571	
110	-68.718435	0.189228	0.128956	0.051568	0.000000	0.093055	4.022153	0.013173	0.706097	0.245914	0.235643	0.259134	0.259309	
111	-69.952025	0.265783	0.000000	0.071866	0.241756	0.000000	0.736428	0.135286	0.130124	0.250000	0.250000	0.250000	0.250000	
112	-69.139804	1.425856	0.000000	0.383548	0.025943	0.000000	1.094581	0.027705	0.190848	0.228847	0.229540	0.271192	0.270421	
113	-68.768796	0.424996	0.000000	0.120993	0.027049	0.000000	0.303651	0.028437	0.052831	0.227918	0.230356	0.272345	0.269381	
114	-68.526244	0.988578	0.000003	0.266974	0.025659	0.000000	0.382859	0.027222	0.065506	0.221859	0.223178	0.278921	0.276042	
115	-68.266515	1.370004	0.000000	0.361282	0.022794	0.017849	0.377168	0.023365	0.068110	0.224983	0.225773	0.274863	0.274381	
116	-68.547485	1.336376	0.000000	0.359169	0.020720	0.000744	1.460409	0.025361	0.256199	0.226274	0.226969	0.273647	0.273110	
117	-67.911523	1.677618	0.000000	0.445814	0.016215	0.007192	0.846424	0.022878	0.148044	0.216756	0.217388	0.283321	0.282535	
118	-67.907639	0.413231	0.000000	0.098428	0.014887	0.045607	0.919707	0.015236	0.168517	0.207703	0.210775	0.289840	0.291683	
119	-69.094528	2.450678	0.000000	0.688559	0.019695	0.002047	0.473398	0.025163	0.081476	0.219668	0.220128	0.281100	0.279105	
120	-68.230845	0.611827	0.000000	0.114871	0.017899	0.132584	1.792410	0.001260	0.337840	0.223591	0.225149	0.274290	0.276969	
121	-67.906914	0.893166	0.000000	0.188193	0.022769	0.144587	1.534181	0.000111	0.296365	0.229357	0.230390	0.268768	0.271485	
122	-68.831398	0.406581	0.000000	0.081685	0.019213	0.080141	0.737124	0.010651	0.142358	0.221169	0.223860	0.275552	0.279419	
123	-69.128287	0.290854	0.000000	0.086386	0.018821	0.000000	0.469339	0.024345	0.080629	0.213496	0.218163	0.285236	0.283105	
124	-69.498290	0.689467	0.000000	0.181355	0.139121	0.000000	0.295538	0.077277	0.051996	0.249998	0.249999	0.250002	0.250001	
125	-68.172453	0.574678	0.000000	0.158943	0.017387	0.000000	0.448635	0.023204	0.076667	0.219092	0.220945	0.280950	0.279013	
126	-69.899876	0.304621	0.000000	0.080845	0.160435	0.000000	0.624176	0.089397	0.109937	0.249999	0.250000	0.250000	0.250000	
127	-68.799333	0.462975	0.000000	0.100425	0.020919	0.067759	0.808217	0.013272	0.153161	0.220470	0.223155	0.276845	0.279530	
128	-68.532369	0.821039	0.000000	0.223554	0.020290	0.000188	0.341270	0.023958	0.058904	0.238590	0.239157	0.261599	0.260653	
129	-68.137970	0.560806	0.000000	0.155064	0.020937	0.000000	0.194008	0.023786	0.033877	0.243537	0.244121	0.256383	0.255959	
130	-68.424100	0.708040	0.000000	0.184793	0.022794	0.022656	0.318412	0.022648	0.059202	0.234550	0.235504	0.264953	0.264993	
131	-68.838423	1.550960	0.000000	0.416212	0.023142	0.000000	0.442251	0.026160	0.077261	0.231808	0.232311	0.268693	0.267189	
132	-68.848437	1.220869	0.000000	0.332087	0.022165	0.000000	0.352096	0.025706	0.060367	0.232061	0.232681	0.268501	0.266758	
133	-68.905663	3.492623	0.000000	0.922724	0.019492	0.000000	0.356494	0.025665	0.060856	0.226763	0.227003	0.274310	0.271925	
134	-68.725124	0.948241	0.000000	0.267442	0.016830	0.000000	0.349213	0.025856	0.059934	0.219007	0.220085	0.281880	0.279028	
135	-67.828776	0.706027	0.000000	0.194732	0.017200	0.000000	0.797706	0.024991	0.137985	0.221791	0.223069	0.278172	0.276968	
136	-69.494326	1.165446	0.000000	0.306877	0.141840	0.000000	0.408834	0.079104	0.071868	0.250000	0.250000	0.250000	0.250000	
137	-69.773340	0.214224	0.000000	0.058319	0.156770	0.000000	0.655569	0.090420	0.114961	0.249998	0.250000	0.250001	0.250001	
138	-68.405228	1.474824	0.000000	0.396357	0.016113	0.000000	0.521148	0.025541	0.091209	0.206623	0.207529	0.294339	0.291509	
139	-68.592441	0.617947	0.000000	0.168893	0.018257	0.004241	0.435627	0.023938	0.075886	0.221469	0.223083	0.278558	0.276890	
140	-68.515957	0.272237	0.000000	0.079993	0.018053	0.000000	0.326962	0.024901	0.055929	0.203226	0.209376	0.295703	0.291695	
141	-67.974736	0.488687	0.000000	0.134646	0.019927	0.004025	0.412891	0.025323	0.072649	0.225564	0.227424	0.274341	0.272672	
142	-68.243186	0.245612	0.000000	0.045620	0.020036	0.064509	0.659403	0.012615	0.126201	0.235097	0.237535	0.262853	0.264516	
143	-69.098456	2.649314	0.000000	0.651733	0.016699	0.000000	0.345508	0.024803	0.059760	0.222040	0.222388	0.279096	0.276475	
144	-68.895432	3.444961	0.000000	0.920664	0.019717	0.000000	0.202437	0.025130	0.034459	0.212010	0.212418	0.290976	0.284596	
145	-69.326714	0.552494	0.000000	0.153371	0.020046	0.000000	0.652936	0.024979	0.113278	0.205972	0.209007	0.293596	0.291425	
146	-69.777762	0.306189	0.000000	0.081965	0.211491	0.000000	0.293828	0.120360	0.052548	0.250000	0.250000	0.250000	0.250000	
147	-69.335264	1.604670	0.000000	0.422895	0.018679	0.011944	0.351275	0.023610	0.062065	0.205830	0.206811	0.294671	0.292687	
148	-69.086519	0.317787	0.000000	0.093806	0.018953	0.000000	2.397756	0.026330	0.417671	0.203048	0.208373	0.294606	0.293974	
149	-68.859141	0.335678	0.000000	0.098052	0.022668	0.000000	1.021003	0.026602	0.177400	0.214203	0.218806	0.284056	0.282935	
150	-68.921898	0.364569	0.000000	0.105460	0.019820	0.000000	0.777857	0.025834	0.135108	0.220573	0.223569	0.278551	0.277307	
151	-68.799171	0.616451	0.000000	0.171692	0.020128	0.000000	1.100987	0.025459	0.191278	0.233493	0.234552	0.266210	0.265745	
152	-68.547534	0.419552	0.000000	0.092482	0.017813	0.062904	0.448232	0.013810	0.088487	0.223289	0.225653	0.273619	0.277439	
153	-69.446820	0.505640	0.000000	0.134361	0.108313	0.000000	0.545695	0.062872	0.095554	0.249981	0.249987	0.250018	0.250014	
154	-68.454854	0.546240	0.000000	0.152749	0.020503	0.000000	0.570022	0.026482	0.098242	0.226815	0.228568	0.272930	0.271687	
155	-68.304363	1.561553	0.000000	0.406469	0.016938	0.000627	0.319044	0.025421	0.054316	0.222407	0.223026	0.278530	0.276037	
156	-69.062918	1.543164	0.000000	0.424611	0.018087	0.000000	2.171648	0.024838	0.381542	0.225862	0.226434	0.274016	0.273687	
